Fund Name,Fund Link,Unit Purchased,Latest NAV,Amount Invested,Value of Investment,Absolute Return
L&T Midcap Fund - Growth,https://www.valueresearchonline.com/funds/2333/landt-midcap-fund,831.577,,105000,,
  Mirae Asset Fund Large Cap Fund Regular Plan Growth,https://www.valueresearchonline.com/funds/6762/mirae-asset-large-cap-fund-regular-plan,3540.557,,170000,,
  Nippon India SMALL CAP FUND - GROWTH PLAN GROWTH OPTION,https://www.valueresearchonline.com/funds/11463/nippon-india-small-cap-fund,2813.210,,105000,,
Kotak Global Emerging Market Fund Direct - Growth,https://www.valueresearchonline.com/funds/17439/kotak-global-emerging-market-direct-plan,338.935,,6000,,
SBI Magnum Income Direct Plan - Growth,https://www.valueresearchonline.com/funds/16230/sbi-magnum-income-fund-direct-plan,477.413,,25000,,
Edelweiss US Technology Equity Fund of Fund Direct - Growth,https://www.valueresearchonline.com/funds/40665/edelweiss-us-technology-equity-fund-of-fund-direct-plan,4520.693,,50000,,
Nippon India Index Fund Sensex plan Direct - Growth,https://www.valueresearchonline.com/funds/16859/nippon-india-index-fund-sensex-plan-direct-plan,1555.839,,25000,,
Parag Parikh Long term EquityFund Direct - Growth,https://www.valueresearchonline.com/funds/19701/parag-parikh-long-term-equity-fund-direct-plan,2066.688,,50000,,
Axis Midcap Direct Plan - Growth,https://www.valueresearchonline.com/funds/15690/axis-midcap-fund-direct-plan,1331.203,,50000,,
SBI Samll Cap Fund Direct - Growth,https://www.valueresearchonline.com/funds/15787/sbi-small-cap-fund-direct-plan,1035.047,,50000,,
